Employee_Name,Position,State,DOB,Sex,MaritalDesc,CitizenDesc,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,SpecialProjectsCount,Absences
"MacLennan, Samuel",Production Technician I,MA,11-09-1972,M ,Widowed,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,3.08,0,18
"Mahoney, Lauren  ",Production Technician I,MA,07-07-1986,F,Single,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,4.6,0,14
"Manchester, Robyn",Production Technician II,MA,08/25/76,F,Married,US Citizen,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,5,0,4
"Mancuso, Karen",Production Technician II,MA,12-10-1986,F,Married,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,5,0,16
"Mangal, Debbie",Production Technician I,MA,11-07-1974,F,Married,US Citizen,Active,Production       ,Brannon Miller,LinkedIn,Fully Meets,4.1,0,11
"Martin, Sandra",Software Engineer,MA,11-07-1987,F,Single,US Citizen,Active,Software Engineering,Alex Sweetwater,Google Search,Fully Meets,4.5,4,14
"Maurice, Shana",Production Technician I,MA,11/22/77,F,Married,US Citizen,Active,Production       ,David Stanley,Indeed,Fully Meets,5,0,8
"Carthy, B'rigit",Production Technician II,MA,05/21/87,F,Single,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,5,0,16
"Mckenna, Sandy",Production Technician I,MA,01-07-1987,F,Married,US Citizen,Active,Production       ,Kissy Sullivan,CareerBuilder,Fully Meets,3.93,0,20
"McKinzie, Jac",Area Sales Manager,TX,07-01-1984,M ,Married,US Citizen,Active,Sales,Lynn Daneault,Website,Fully Meets,3.4,0,7
"Meads, Elizabeth",Production Technician I,MA,05/30/68,F,Single,US Citizen,Voluntarily Terminated,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,4.18,0,17
"Medeiros, Jennifer",Production Technician I,MA,09/22/76,F,Single,US Citizen,Active,Production       ,Michael Albert,CareerBuilder,Fully Meets,5,0,10
"Miller, Brannon",Production Manager,MA,08-10-1981,M ,Single,US Citizen,Active,Production       ,Janet King,Indeed,Fully Meets,4.37,0,2
"Miller, Ned",Production Technician II,MA,06/29/85,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,LinkedIn,PIP,3,0,6
"Monkfish, Erasumus",Production Technician II,MA,08/17/92,M ,Married,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.7,0,14
"Monroe, Peter",IT Manager - Infra,MA,10-05-1986,M ,Married,Eligible NonCitizen,Active,IT/IS,Jennifer Zamora,Diversity Job Fair,Needs Improvement,2.39,6,13
"Monterro, Luisa",Production Technician II,MA,04/24/70,F,Single,US Citizen,Active,Production       ,Kissy Sullivan,Indeed,Exceeds,4.7,0,1
"Moran, Patrick",Production Technician II,MA,12-03-1976,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,4.1,0,12
"Morway, Tanya",Network Engineer,MA,04-04-1979,F,Married,US Citizen,Active,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,3.81,6,6
"Motlagh,  Dawn",Production Technician I,MA,07-07-1984,F,Divorced,US Citizen,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,4.4,0,18
"Moumanil, Maliki ",Production Technician II,MA,12-01-1974,M ,Separated,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,4.29,0,11
"Myers, Michael",Production Technician I,MA,04/18/80,M ,Single,US Citizen,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.1,0,13
"Navathe, Kurt",Senior BI Developer,MA,04/25/70,M ,Single,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,5,6,17
"Ndzi, Colombui",Production Technician I,MA,05-02-1989,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,4.3,0,19
"Ndzi, Horia",Production Technician I,MA,03/28/83,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Employee Referral,Fully Meets,3.18,0,10
"Newman, Richard ",Production Technician I,MA,04-08-1977,M ,Married,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,5,0,11
"Ngodup, Shari ",Production Technician I,MA,06-03-1967,F,Separated,US Citizen,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,4,0,12
"Nguyen, Dheepa",Area Sales Manager,GA,03/31/89,F,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Fully Meets,5,0,2
"Nguyen, Lei-Ming",Production Technician I,MA,07-07-1984,F,Single,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.6,0,4
"Nowlan, Kristie",Production Technician II,MA,11/23/85,F,Single,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,4.53,0,5
"O'hare, Lynn",Production Technician I,MA,09/30/80,F,Single,US Citizen,Terminated for Cause,Production       ,Kissy Sullivan,LinkedIn,PIP,2.33,0,3
"Oliver, Brooke ",Production Technician II,MA,02-11-1952,F,Married,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,LinkedIn,Fully Meets,5,0,17
"Onque, Jasmine",Area Sales Manager,FL,05-11-1990,F,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.28,0,1
"Osturnka, Adeel",Production Technician I,MA,12-11-1976,M ,Married,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Exceeds,5,0,13
"Owad, Clinton",Production Technician I,MA,11/24/79,M ,Single,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Needs Improvement,4.25,0,6
"Ozark, Travis",Area Sales Manager,NC,05/19/82,M ,Single,US Citizen,Active,Sales,John Smith,Website,Fully Meets,5,0,18
"Panjwani, Nina",Production Technician I,MA,05-01-1979,F,Married,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,3.89,0,7
"Patronick, Lucas",Software Engineer,MA,02/20/79,M ,Single,US Citizen,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Exceeds,5,3,13
"Pearson, Randall",Data Analyst,MA,09-05-1984,M ,Married,US Citizen,Voluntarily Terminated,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.7,5,19
"Smith, Martin",Production Technician I,MA,03/17/88,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Needs Improvement,3.54,0,15
"Pelletier, Ermine",Production Technician II,MA,07/18/89,F,Married,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,CareerBuilder,Needs Improvement,2.4,0,2
"Perry, Shakira",Production Technician I,MA,07/20/86,F,Single,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,3.45,0,5
"Peters, Lauren",Production Technician II,MA,08/17/86,F,Married,US Citizen,Voluntarily Terminated,Production       ,Ketsia Liebig,Indeed,Exceeds,4.2,0,12
"Peterson, Ebonee  ",Production Manager,MA,05-09-1977,F,Married,US Citizen,Voluntarily Terminated,Production       ,Janet King,Indeed,Fully Meets,4.16,0,6
"Petingill, Shana  ",Production Technician II,MA,03-10-1979,F,Married,Eligible NonCitizen,Active,Production       ,Brannon Miller,LinkedIn,Fully Meets,4.3,0,14
"Petrowsky, Thelma",Data Analyst,MA,09/16/84,F,Married,US Citizen,Active,IT/IS,Simon Roup,Employee Referral,Exceeds,4.6,7,16
"Pham, Hong",Production Technician I,MA,03-06-1988,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,Fully Meets,5,0,13
"Pitt, Brad ",Production Technician I,MA,11/23/81,M ,Single,US Citizen,Active,Production       ,David Stanley,Google Search,Fully Meets,3.66,0,15
"Potts, Xana",Area Sales Manager,KY,08/29/88,F,Married,US Citizen,Active,Sales,Lynn Daneault,Website,Fully Meets,4.2,0,9
"Power, Morissa",Production Technician I,MA,10/15/84,F,Divorced,Eligible NonCitizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,3.17,0,14
"Punjabhi, Louis  ",Production Technician I,MA,06/19/61,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,4.8,0,14
"Purinton, Janine",Production Technician I,MA,09/22/70,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Indeed,Fully Meets,4.5,0,16
"Quinn, Sean",Software Engineer,MA,11-06-1984,M ,Married,Eligible NonCitizen,Voluntarily Terminated,Software Engineering,Janet King,Diversity Job Fair,Fully Meets,4.15,0,4
"Rachael, Maggie",BI Developer,MA,05-12-1980,F,Married,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.4,6,10
"Rarrick, Quinn",Production Technician I,MA,12/31/84,M ,Divorced,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.8,0,19
"Ren, Kylo",Area Sales Manager,ID,10-12-1954,M ,Married,US Citizen,Active,Sales,John Smith,CareerBuilder,Fully Meets,3.98,0,4
"Rhoads, Thomas",Production Technician I,MA,07/22/82,M ,Divorced,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,LinkedIn,Fully Meets,5,0,11
"Rivera, Haley  ",Production Technician I,MA,01-12-1973,F,Married,US Citizen,Active,Production       ,Webster Butler,Google Search,Exceeds,4.36,0,16
"Roberson, May",Production Technician II,MA,09-05-1981,F,Divorced,Eligible NonCitizen,Voluntarily Terminated,Production       ,David Stanley,Google Search,Fully Meets,4.5,0,10
"Robertson, Peter",Production Technician II,MA,07-03-1972,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Indeed,Fully Meets,4.2,0,13
"Robinson, Alain  ",Production Technician I,MA,01-07-1974,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,5,0,11
"Robinson, Cherly",Production Technician I,MA,01-07-1985,F,Married,US Citizen,Terminated for Cause,Production       ,Ketsia Liebig,Indeed,Needs Improvement,3.6,0,16
"Robinson, Elias",Production Technician I,MA,01/28/85,M ,Widowed,US Citizen,Active,Production       ,Brannon Miller,Employee Referral,Exceeds,3.6,0,4
"Roby, Lori ",Data Analyst,MA,10-11-1981,F,Married,US Citizen,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.69,6,15
"Roehrich, Bianca",Principal Data Architect,MA,05/27/73,F,Single,US Citizen,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.88,7,12
"Roper, Katie",Data Architect,MA,11/21/72,F,Single,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.94,5,17
"Rose, Ashley  ",Production Technician I,MA,12-05-1974,F,Separated,US Citizen,Active,Production       ,David Stanley,Website,Fully Meets,5,0,8
"Rossetti, Bruno",Production Technician I,MA,03/18/87,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,5,0,4
"Roup,Simon",IT Manager - DB,MA,04-05-1973,M ,Single,US Citizen,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,3.6,7,13
"Ruiz, Ricardo",IT Manager - DB,MA,01-04-1964,M ,Divorced,US Citizen,Voluntarily Terminated,IT/IS,Jennifer Zamora,Diversity Job Fair,Fully Meets,4.3,6,8
"Saada, Adell",Software Engineer,MA,07/24/86,F,Married,US Citizen,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.2,6,2
"Saar-Beckles, Melinda",Production Technician I,MA,06-06-1968,F,Single,US Citizen,Active,Production       ,Kelley Spirea,Diversity Job Fair,Needs Improvement,2.6,0,4
"Sadki, Nore  ",Production Technician I,MA,12/21/74,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,Google Search,Fully Meets,4.6,0,7
"Sahoo, Adil",Production Technician II,MA,04/26/86,M ,Married,US Citizen,Active,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,4.1,0,13
"Salter, Jason",Data Analyst ,MA,12/17/87,M ,Divorced,US Citizen,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,4.2,5,2
"Sander, Kamrin",Production Technician I,MA,07-10-1988,F,Married,US Citizen,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,3.51,0,2
"Sewkumar, Nori",Production Technician I,MA,03-10-1975,F,Single,US Citizen,Active,Production       ,Webster Butler,Google Search,Fully Meets,5,0,14
"Shepard, Anita ",Network Engineer,MA,04/14/81,F,Married,US Citizen,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.31,6,7
"Shields, Seffi",Production Technician I,MA,08/24/85,F,Married,US Citizen,Active,Production       ,Amy Dunn,LinkedIn,Fully Meets,4.81,0,15
"Simard, Kramer",Data Analyst,MA,02-08-1970,M ,Married,US Citizen,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.32,7,16
"Singh, Nan ",Administrative Assistant,MA,05/19/88,F,Single,US Citizen,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,5,2
"Sloan, Constance",Production Technician II,MA,11/25/87,F,Single,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,CareerBuilder,Fully Meets,4.68,0,20
"Smith, Joe",Production Technician II,MA,10/30/63,M ,Single,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Exceeds,4.3,0,4
"Smith, John",Sales Manager,MA,08/16/84,M ,Divorced,US Citizen,Active,Sales,Debra Houlihan,Diversity Job Fair,Needs Improvement,2.4,0,16
"Smith, Leigh Ann",Administrative Assistant,MA,06/14/87,F,Married,US Citizen,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,3.8,4,17
"Smith, Sade",Production Technician I,MA,02-02-1965,F,Single,US Citizen,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.73,0,16
"Soto, Julia ",IT Support,MA,03-12-1973,F,Married,US Citizen,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.3,5,19
"Soze, Keyser",Sr. Network Engineer,MA,02-09-1983,M ,Married,US Citizen,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.27,5,13
"Sparks, Taylor  ",Production Technician I,MA,07/20/68,F,Married,US Citizen,Active,Production       ,Brannon Miller,Indeed,PIP,2.4,1,20
"Spirea, Kelley",Production Manager,MA,09/30/75,F,Married,US Citizen,Active,Production       ,Janet King,LinkedIn,Fully Meets,4.83,0,15
"Squatrito, Kristen",Production Technician I,MA,03/26/73,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,David Stanley,LinkedIn,Exceeds,4.1,0,16
"Stanford,Barbara  M",Production Technician I,MA,08/25/82,F,Divorced,US Citizen,Active,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.1,0,9
"Stansfield, Norman",Area Sales Manager,NV,05-09-1974,M ,Married,US Citizen,Active,Sales,Lynn Daneault,Website,PIP,1.81,0,5
"Steans, Tyrone  ",Accountant I,MA,09-01-1986,M ,Single,US Citizen,Active,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.9,5,9
"Stoica, Rick",Production Technician I,MA,03/14/85,M ,Married,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.7,0,4
"Strong, Caitrin",Area Sales Manager,MT,05-12-1989,F,Married,US Citizen,Active,Sales,John Smith,Indeed,Fully Meets,4.1,0,18
"Sullivan, Kissy ",Production Manager,MA,03/28/78,F,Married,US Citizen,Active,Production       ,Janet King,Indeed,Fully Meets,3.73,0,12
"Sullivan, Timothy",Production Technician I,MA,10-07-1982,M ,Married,US Citizen,Active,Production       ,Michael Albert,Google Search,Fully Meets,4.36,0,10
"Sutwell, Barbara",Production Technician I,MA,08/15/68,F,Single,Eligible NonCitizen,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,3.4,0,13
"Szabo, Andrew",Software Engineer,MA,05-06-1983,M ,Single,US Citizen,Active,Software Engineering,Alex Sweetwater,LinkedIn,Exceeds,4.5,5,1
"Tannen, Biff",BI Developer,MA,10/24/87,M ,Married,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.4,6,14
"Tavares, Desiree  ",Production Technician I,MA,04-03-1975,F,Married,Non-Citizen,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,4.5,0,11
"Tejeda, Lenora ",Production Technician II,MA,05/24/53,F,Married,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,3.93,0,3
"Terry, Sharlene ",Area Sales Manager,OR,05-07-1965,F,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Fully Meets,3.69,0,18
"Theamstern, Sophia",Production Technician I,MA,05-09-1965,F,Single,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,3.98,0,1
"Thibaud, Kenneth",Production Technician II,MA,09/16/75,M ,Widowed,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Other,Fully Meets,4.1,0,15
"Tippett, Jeanette",Production Technician I,MA,06-05-1967,F,Divorced,US Citizen,Active,Production       ,Brannon Miller,Indeed,Fully Meets,4.21,0,4
"Torrence, Jack",Area Sales Manager,ND,01/15/68,M ,Separated,US Citizen,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.1,0,6
"Trang, Mei",Production Technician I,MA,05/16/83,F,Single,US Citizen,Active,Production       ,David Stanley,LinkedIn,Needs Improvement,2.44,0,18
"Tredinnick, Neville ",Network Engineer,MA,05-05-1988,M ,Married,US Citizen,Voluntarily Terminated,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,5,5,11
"True, Edward",Software Engineer,MA,06/14/83,M ,Single,Non-Citizen,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Fully Meets,4.6,4,9
"Trzeciak, Cybil",Production Technician II,MA,03/15/85,F,Single,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,4.4,0,5
"Turpin, Jumil",Network Engineer,MA,03/31/69,M ,Married,Eligible NonCitizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,7,8
"Valentin,Jackie",Area Sales Manager,AZ,05/23/91,F,Married,US Citizen,Active,Sales,John Smith,Indeed,Fully Meets,2.81,0,16
"Veera, Abdellah ",Production Technician I,MA,01/31/87,M ,Divorced,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,LinkedIn,Exceeds,4.5,0,15
"Vega, Vincent",Production Manager,MA,10-10-1968,M ,Divorced,US Citizen,Active,Production       ,Janet King,Employee Referral,Fully Meets,3.93,0,19
"Villanueva, Noah",Area Sales Manager,ME,07-11-1989,M ,Single,US Citizen,Active,Sales,John Smith,Website,Fully Meets,4.5,0,11
"Voldemort, Lord",Database Administrator,MA,08-07-1986,M ,Married,US Citizen,Terminated for Cause,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.33,7,9
"Volk, Colleen",Production Technician I,MA,06-03-1986,F,Married,US Citizen,Terminated for Cause,Production       ,Kelley Spirea,Google Search,Exceeds,4.3,0,18
"Von Massenbach, Anna",Production Technician I,MA,04-06-1985,F,Single,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,3.21,0,7
"Walker, Roger",Production Technician II,MA,02-10-1976,M ,Single,US Citizen,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.11,0,4
"Wallace, Courtney  E",Production Manager,MA,11/14/55,F,Married,US Citizen,Voluntarily Terminated,Production       ,Janet King,Diversity Job Fair,Fully Meets,4.5,0,5
"Wallace, Theresa",Production Technician I,MA,08-02-1980,F,Single,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,CareerBuilder,Needs Improvement,2.5,0,13
"Wang, Charlie",Senior BI Developer,MA,07-08-1981,M ,Single,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.42,7,17
"Warfield, Sarah",Sr. Network Engineer,MA,05-02-1978,F,Widowed,US Citizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.2,8,7
"Whittier, Scott",Production Technician I,MA,05/24/87,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,LinkedIn,Fully Meets,5,0,11
"Wilber, Barry",Production Technician I,MA,09-09-1965,M ,Married,Eligible NonCitizen,Voluntarily Terminated,Production       ,Amy Dunn,Website,Fully Meets,5,0,7
"Wilkes, Annie",Production Technician I,MA,07/30/83,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Ketsia Liebig,Google Search,Fully Meets,3.6,0,9
"Williams, Jacquelyn  ",Production Technician I,MA,10-02-1969,F,Single,US Citizen,Voluntarily Terminated,Production       ,Ketsia Liebig,Diversity Job Fair,Fully Meets,4.3,0,16
"Winthrop, Jordan  ",Production Technician II,MA,11-07-1958,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,LinkedIn,Exceeds,5,0,7
"Wolk, Hang  T",Production Technician II,MA,04/20/85,F,Single,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.4,0,14
"Woodson, Jason",Production Technician II,MA,05-11-1985,M ,Single,US Citizen,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.07,0,13
"Ybarra, Catherine ",Production Technician I,MA,05-04-1982,F,Single,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,PIP,3.2,0,4
"Zamora, Jennifer",CIO,MA,08/30/79,F,Single,US Citizen,Active,IT/IS,Janet King,Employee Referral,Exceeds,4.6,6,16
"Zhou, Julia",Data Analyst,MA,02/24/79,F,Single,US Citizen,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,5,5,11
"Zima, Colleen",Production Technician I,MA,08/17/78,F,Widowed,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.5,0,2
